  Disciplina,         Nome da disciplina,            Professor,Créd,Trm,Destino,Vag,Turno,Horário/ Unidade,Hr Dist.,SHF,Pré-Req,Depto
INF1005, PROGRAMACAO I ,JOSE CARLOS RAMALHO MOREIRA,4,33M,QQC,5,I,TER 11-13 L258 / GAVEA  QUI 11-13 L144 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,CAROLINA DE LIMA AGUILAR,4,33N,QQC,0,I,TER 13-15 L481 / GAVEA  QUI 13-15 L258 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,CAROLINA DE LIMA AGUILAR,4,33O,QQC,0,I,TER 07-09 L258 / GAVEA  QUI 07-09 L314 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,IVAN MATHIAS FILHO,4,33P,QQC,10,I,TER 11-13 L654 / GAVEA  QUI 11-13 L118 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,SERGIO COLCHER,4,33Q,QQC,2,I,TER 15-17 L270 / GAVEA  QUI 15-17 L546 / GAVEA  ,0,0,NÃO,UCB
INF1007, PROGRAMACAO II ,IVAN MATHIAS FILHO,4,33B,QQC,0,I,SEG 07-09 L546 / GAVEA  QUA 07-09 L774 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,MARCELO GATTASS,4,33C,QQC,0,I,SEG 09-11 L546 / GAVEA  QUA 09-11 L118 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,JOISA DE SOUZA OLIVEIRA,4,33D,QQC,0,I,SEG 09-11 L224 / GAVEA  QUA 09-11 L546 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,PAULA YPIRANGA DOS GUARANYS,4,33E,QQC,0,I,SEG 11-13 L546 / GAVEA  QUA 11-13 L456 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,JOISA DE SOUZA OLIVEIRA,4,33F,QQC,0,I,SEG 11-13 L428 / GAVEA  QUA 11-13 L546 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,SERGIO LIFSCHITZ,4,33G,QQC,0,I,SEG 13-15 L546 / GAVEA  QUA 13-15 F410 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,JOISA DE SOUZA OLIVEIRA,4,33H,QQC,0,I,SEG 13-15 F201A / GAVEA  QUA 13-15 L546 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,BRUNO FEIJO,4,33I,QQC,0,I,SEG 15-17 L546 / GAVEA  QUA 15-17 L428 / GAVEA  ,0,0, SIM ,UCB
INF1007, PROGRAMACAO II ,EDIRLEI EVERSON SOARES DE LIMA,4,33J,QQC,0,I,SEG 15-17 L160 / GAVEA  QUA 15-17 L546 / GAVEA  ,0,0, SIM ,UCB
